week_id,start_of_week,end_of_week,holiday_type,holiday_date
324,1995-11-23,1995-11-29,USThanksgivingDay,1995-11-23
325,1995-11-30,1995-12-06,NA,NA
326,1995-12-07,1995-12-13,NA,NA
327,1995-12-14,1995-12-20,NA,NA
328,1995-12-21,1995-12-27,USChristmasDay,1995-12-25
329,1995-12-28,1996-01-03,USNewYearsDay,1996-01-01
330,1996-01-04,1996-01-10,NA,NA
331,1996-01-11,1996-01-17,USMLKingsBirthday,1996-01-15
332,1996-01-18,1996-01-24,USInaugurationDay,1996-01-20
333,1996-01-25,1996-01-31,NA,NA
334,1996-02-01,1996-02-07,NA,NA
335,1996-02-08,1996-02-14,USLincolnsBirthday,1996-02-12
336,1996-02-15,1996-02-21,USPresidentsDay,1996-02-19
337,1996-02-22,1996-02-28,USWashingtonsBirthday,1996-02-22
338,1996-02-29,1996-03-06,USCPulaskisBirthday,1996-03-04
339,1996-03-07,1996-03-13,NA,NA
340,1996-03-14,1996-03-20,NA,NA
341,1996-03-21,1996-03-27,NA,NA
342,1996-03-28,1996-04-03,NA,NA
343,1996-04-04,1996-04-10,USGoodFriday,1996-04-05
344,1996-04-11,1996-04-17,NA,NA
345,1996-04-18,1996-04-24,NA,NA
346,1996-04-25,1996-05-01,NA,NA
347,1996-05-02,1996-05-08,NA,NA
348,1996-05-09,1996-05-15,NA,NA
349,1996-05-16,1996-05-22,NA,NA
350,1996-05-23,1996-05-29,USMemorialDay,1996-05-27
351,1996-05-30,1996-06-05,USDecorationMemorialDay,1996-05-30
352,1996-06-06,1996-06-12,NA,NA
353,1996-06-13,1996-06-19,NA,NA
354,1996-06-20,1996-06-26,NA,NA
355,1996-06-27,1996-07-03,NA,NA
356,1996-07-04,1996-07-10,USIndependenceDay,1996-07-04
357,1996-07-11,1996-07-17,NA,NA
358,1996-07-18,1996-07-24,NA,NA
359,1996-07-25,1996-07-31,NA,NA
360,1996-08-01,1996-08-07,NA,NA
361,1996-08-08,1996-08-14,NA,NA
362,1996-08-15,1996-08-21,NA,NA
363,1996-08-22,1996-08-28,NA,NA
364,1996-08-29,1996-09-04,USLaborDay,1996-09-02
365,1996-09-05,1996-09-11,NA,NA
366,1996-09-12,1996-09-18,NA,NA
367,1996-09-19,1996-09-25,NA,NA
368,1996-09-26,1996-10-02,NA,NA
369,1996-10-03,1996-10-09,NA,NA
370,1996-10-10,1996-10-16,USColumbusDay,1996-10-14
371,1996-10-17,1996-10-23,NA,NA
372,1996-10-24,1996-10-30,NA,NA
373,1996-10-31,1996-11-06,"USElectionDay, USHalloween","1996-11-05, 1996-10-31"
374,1996-11-07,1996-11-13,USVeteransDay,1996-11-11
375,1996-11-14,1996-11-20,NA,NA
376,1996-11-21,1996-11-27,NA,NA
377,1996-11-28,1996-12-04,USThanksgivingDay,1996-11-28
378,1996-12-05,1996-12-11,NA,NA
379,1996-12-12,1996-12-18,NA,NA
380,1996-12-19,1996-12-25,USChristmasDay,1996-12-25
381,1996-12-26,1997-01-01,USNewYearsDay,1997-01-01
382,1997-01-02,1997-01-08,NA,NA
383,1997-01-09,1997-01-15,NA,NA
384,1997-01-16,1997-01-22,"USInaugurationDay, USMLKingsBirthday","1997-01-20, 1997-01-20"
385,1997-01-23,1997-01-29,NA,NA
386,1997-01-30,1997-02-05,NA,NA
387,1997-02-06,1997-02-12,USLincolnsBirthday,1997-02-12
388,1997-02-13,1997-02-19,USPresidentsDay,1997-02-17
389,1997-02-20,1997-02-26,USWashingtonsBirthday,1997-02-22
390,1997-02-27,1997-03-05,USCPulaskisBirthday,1997-03-03
391,1997-03-06,1997-03-12,NA,NA
392,1997-03-13,1997-03-19,NA,NA
393,1997-03-20,1997-03-26,NA,NA
394,1997-03-27,1997-04-02,USGoodFriday,1997-03-28
395,1997-04-03,1997-04-09,NA,NA
396,1997-04-10,1997-04-16,NA,NA
397,1997-04-17,1997-04-23,NA,NA
398,1997-04-24,1997-04-30,NA,NA
399,1997-05-01,1997-05-07,NA,NA
400,1997-05-08,1997-05-14,NA,NA
