store,week,brand,upc,qty,price,sales_indicator,city,price_tier,zone,zip,address,latitude,longtitude,start_of_week,is_holiday_week,imported
86,115,BUDWEISER BEER,1820000016,19,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-21,FALSE,domestic
86,115,CORONA EXTRA BEER,8066095605,2,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-21,FALSE,imported
86,115,LOWENBRAU BEER,3410021505,27,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-21,FALSE,imported
86,115,MILLER GENUINE DRAFT,3410000554,20,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-21,FALSE,domestic
86,116,BUDWEISER BEER,1820000016,14,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-28,TRUE,domestic
86,116,CORONA EXTRA BEER,8066095605,4,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-28,TRUE,imported
86,116,LOWENBRAU BEER,3410021505,35,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-28,TRUE,imported
86,116,MILLER GENUINE DRAFT,3410000554,9,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-28,TRUE,domestic
86,117,BUDWEISER BEER,1820000016,23,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-05,FALSE,domestic
86,117,CORONA EXTRA BEER,8066095605,7,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-05,FALSE,imported
86,117,LOWENBRAU BEER,3410021505,41,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-05,FALSE,imported
86,117,MILLER GENUINE DRAFT,3410000554,21,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-05,FALSE,domestic
86,118,BUDWEISER BEER,1820000016,14,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-12,FALSE,domestic
86,118,CORONA EXTRA BEER,8066095605,1,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-12,FALSE,imported
86,118,LOWENBRAU BEER,3410021505,19,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-12,FALSE,imported
86,118,MILLER GENUINE DRAFT,3410000554,67,2.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-12,FALSE,domestic
86,119,BUDWEISER BEER,1820000016,22,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-19,TRUE,domestic
86,119,CORONA EXTRA BEER,8066095605,4,4.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-19,TRUE,imported
86,119,LOWENBRAU BEER,3410021505,17,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-19,TRUE,imported
86,119,MILLER GENUINE DRAFT,3410000554,46,2.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-19,TRUE,domestic
86,120,BUDWEISER BEER,1820000016,19,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-26,TRUE,domestic
86,120,CORONA EXTRA BEER,8066095605,12,4.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-26,TRUE,imported
86,120,LOWENBRAU BEER,3410021505,41,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-26,TRUE,imported
86,120,MILLER GENUINE DRAFT,3410000554,17,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-12-26,TRUE,domestic
86,121,BUDWEISER BEER,1820000016,26,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-02,FALSE,domestic
86,121,CORONA EXTRA BEER,8066095605,1,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-02,FALSE,imported
86,121,LOWENBRAU BEER,3410021505,29,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-02,FALSE,imported
86,121,MILLER GENUINE DRAFT,3410000554,19,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-02,FALSE,domestic
86,122,BUDWEISER BEER,1820000016,28,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-09,FALSE,domestic
86,122,CORONA EXTRA BEER,8066095605,4,4.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-09,FALSE,imported
86,122,LOWENBRAU BEER,3410021505,15,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-09,FALSE,imported
86,122,MILLER GENUINE DRAFT,3410000554,19,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-09,FALSE,domestic
86,123,BUDWEISER BEER,1820000016,17,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-16,TRUE,domestic
86,123,CORONA EXTRA BEER,8066095605,3,4.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-16,TRUE,imported
86,123,LOWENBRAU BEER,3410021505,12,4.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-16,TRUE,imported
86,123,MILLER GENUINE DRAFT,3410000554,19,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-16,TRUE,domestic
86,124,BUDWEISER BEER,1820000016,13,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-23,FALSE,domestic
86,124,CORONA EXTRA BEER,8066095605,7,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-23,FALSE,imported
86,124,LOWENBRAU BEER,3410021505,27,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-23,FALSE,imported
86,124,MILLER GENUINE DRAFT,3410000554,18,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-23,FALSE,domestic
86,125,BUDWEISER BEER,1820000016,19,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-30,FALSE,domestic
86,125,CORONA EXTRA BEER,8066095605,5,5.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-30,FALSE,imported
86,125,LOWENBRAU BEER,3410021505,27,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-30,FALSE,imported
86,125,MILLER GENUINE DRAFT,3410000554,9,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-01-30,FALSE,domestic
86,126,BUDWEISER BEER,1820000016,20,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-06,TRUE,domestic
86,126,CORONA EXTRA BEER,8066095605,5,5.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-06,TRUE,imported
86,126,LOWENBRAU BEER,3410021505,33,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-06,TRUE,imported
86,126,MILLER GENUINE DRAFT,3410000554,26,3.19,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-06,TRUE,domestic
86,127,BUDWEISER BEER,1820000016,23,3.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-13,TRUE,domestic
86,127,CORONA EXTRA BEER,8066095605,8,5.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-13,TRUE,imported
86,127,LOWENBRAU BEER,3410021505,18,4.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-13,TRUE,imported
86,127,MILLER GENUINE DRAFT,3410000554,94,3.19,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-13,TRUE,domestic
86,128,BUDWEISER BEER,1820000016,28,3.69,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-20,TRUE,domestic
86,128,CORONA EXTRA BEER,8066095605,4,5.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-20,TRUE,imported
86,128,LOWENBRAU BEER,3410021505,8,4.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1992-02-20,TRUE,imported
