gvkey,conm,price_2019,price_2020,price_2021,price_2022,price_2023,price_2024,eps_2019,eps_2020,eps_2021,eps_2022,eps_2023,eps_2024
324101,EGAN STREET RESOURCES LTD,0.3,NA,NA,NA,NA,NA,-0.043,NA,NA,NA,NA,NA
318006,ELANOR INVESTORS GROUP,2.1,1.145,2.07,1.69,1.53,NA,0.0496,-0.1004,0.0291,-0.0476,-0.1409,NA
202362,ELDERS LTD,6.47,9.86,12.26,10.14,7.53,NA,0.6277,0.7979,0.9582,1.0408,0.6444,0.2865
249495,ELECTRO OPTIC SYSTEMS LTD,4.2,5.2,2.87,0.455,1.655,NA,0.1983,-0.1889,-0.0936,-0.3581,-0.209,NA
281479,ELEMENT 25 LTD,0.205,0.765,1.87,0.755,0.41,0.335,-0.0431,-0.0195,-0.0496,-0.1161,-0.1426,-0.0986
293625,ELEMENTOS LTD,0.004,0.004,0.025,0.29,0.13,0.087,-0.0013,-8e-4,-5e-4,-0.0135,-0.0123,-0.0066
210904,ELEVATE URANIUM LTD,0.1,0.08,0.535,0.485,0.55,0.4,-0.0189,-0.0161,-0.0144,-0.0227,-0.0319,-0.0365
326371,ELIXINOL WELLNESS LTD,0.295,0.18,0.058,0.024,0.005,NA,-0.498,-0.5825,-0.0541,-0.0334,-0.0159,NA
271303,ELIXIR ENERGY LTD,0.055,0.13,0.255,0.16,0.066,0.175,-0.0074,-0.003,-0.002,-0.0022,-0.0032,-0.0014
324851,ELMO SOFTWARE LTD,6.3,5.28,4.47,2.24,NA,NA,-0.2085,-0.2542,-0.4289,-0.8548,NA,NA
253388,ELMORE LTD,0.069,0.069,0.018,0.025,0.005,NA,-0.0117,-0.0064,-0.0083,-0.0157,-0.0192,NA
324500,ELSIGHT LTD,0.3,0.545,0.475,0.305,0.37,NA,-0.0333,-0.0362,-0.0453,-0.0297,-0.0245,NA
318772,EMBARK EARLY EDUCATION,0.12,1.27,0.72,0.55,0.675,NA,NA,NA,NA,NA,NA,NA
249486,EMBELTON LTD,10.99,11.5,12.5,10.5,10.5,8.6,0.5894,0.9995,0.6668,0.449,0.4402,0.5843
278546,EMECO HOLDINGS LTD,1.915,0.84,1.055,0.83,0.63,0.76,0.1117,0.2021,0.0402,0.1213,0.0799,0.102
246015,EMERALD RESOURCES NL,0.041,0.595,0.96,1.075,2.7,3.86,-0.0034,-0.0223,-0.0324,0.0845,0.121,0.1357
316196,EMETALS LTD,0.02,0.018,0.02,0.016,0.008,0.004,-0.0041,-0.0043,-0.0022,-0.0031,0.0044,-0.0067
275186,EML PAYMENTS LTD,4.29,2.85,3.89,0.8,1.175,0.65,0.0339,-0.0192,-0.0796,-0.013,-0.7618,-0.0257
287692,EMMERSON RESOURCES LTD,0.135,0.084,0.066,NA,0.063,0.043,-0.003,-0.0035,-0.0032,NA,-0.0047,-0.0054
279419,EMPEROR ENERGY LTD,0.048,0.034,0.048,0.035,0.013,0.017,-8e-4,-0.0215,-0.0053,-0.0045,-0.0038,-0.0025
102114,EMPIRE ENERGY GROUP LTD,0.18,0.36,0.335,0.16,0.17,NA,-0.0511,-0.0273,-0.0241,-0.0086,-0.0286,NA
253633,EMPIRE OIL & GAS NL,NA,NA,NA,NA,NA,NA,0.336,NA,NA,NA,NA,NA
282461,EMPIRE RESOURCES LTD,0.012,0.013,0.012,0.008,0.004,0.003,-0.0024,6e-4,-0.0012,-0.0027,-0.0013,-8e-4
286936,EMPIRED LTD,0.295,0.495,1.34,NA,NA,NA,-0.0956,0.0384,0.0657,NA,NA,NA
290323,EMU NL,0.037,0.043,0.03,0.008,0.0025,0.023,-0.0224,-0.0132,-0.0146,-0.006,-0.0021,-0.0335
329139,EMVISION MEDICAL DEVICES LTD,0.6,2.73,3.15,1.39,1.7,2.03,-0.063,-0.0566,-0.1198,-0.0812,-0.0498,-0.0339
337103,EMYRIA LTD,NA,0.081,0.23,0.22,0.075,0.032,NA,-0.0304,-0.0224,-0.0275,-0.0179,-0.0319
275874,ENCOUNTER RESOURCES,0.13,0.19,0.22,0.12,0.295,0.45,-0.0042,-0.004,-0.005,0.014,-0.0041,-0.0105
348897,ENDEAVOUR GROUP LIMITED,NA,NA,6.98,7,5.27,5.02,NA,NA,0.2485,0.2764,0.2954,0.2859
275903,ENECO REFRESH LTD,0.069,0.065,0.031,0.016,0.023,0.01,-0.005,-0.004,-6e-4,-8e-4,4e-4,-0.0058
322716,ENEGEX LTD,0.012,0.051,0.076,0.033,0.019,0.015,-0.0038,-0.0025,-0.0037,-0.0041,-0.0078,-0.0024
303689,ENERGY ACTION LTD,0.32,0.215,0.32,0.135,0.195,0.34,-0.4659,-0.0958,-0.0371,-0.1053,-0.011,0.019
274001,ENERGY METALS LTD,0.06,0.19,0.2275,0.115,0.125,NA,-0.0021,-0.0039,-0.0039,-0.0032,-0.0018,NA
282303,ENERGY ONE LTD,1.89,4.11,5.31,4.9,5.39,5.01,0.0622,0.0739,0.1441,0.135,0.1006,0.049
100823,ENERGY RESOURCES OF AUSTRALI,0.15,0.225,0.38,0.21,0.057,NA,0.0121,0.0036,-0.1761,-0.0435,-0.0627,NA
247532,ENERGY TECHNOLOGIES LTD,0.29,0.079,0.135,0.063,0.04,0.035,0.0435,-0.0514,-0.0339,-0.0359,-0.0524,-0.0302
278168,ENERGY TRANSITION MINERALS,0.09,0.175,0.071,0.045,0.038,NA,-0.0025,-0.0026,-0.0694,-0.0045,-0.0045,NA
202023,ENERGY WORLD CORP LTD,0.086,0.07,0.078,0.053,0.035,0.01,0.0158,0.0065,3e-4,0.0034,-0.0177,-0.2603
270802,ENERO GROUP LTD,2.09,1.55,3.03,2.91,1.6,1.3,0.0667,0.1247,-0.0046,0.2893,0.6106,-0.4833
281816,ENGENCO LTD,0.545,0.53,0.49,0.415,0.305,0.185,0.0454,0.0428,0.0382,0.018,0.0204,0.0124
284314,ENOVA MINING LTD,0.003,0.028,0.018,0.011,0.025,NA,-0.0017,-8e-4,-5e-4,-4e-4,-6e-4,NA
316946,ENSOGO LTD,NA,NA,NA,NA,NA,NA,-0.0105,NA,NA,NA,NA,NA
301387,ENSURANCE LTD,0.02,0.02,0.24,0.23,0.27,NA,-0.0162,-0.0062,-0.0023,0.0032,0.0049,NA
285130,ENTERPRISE METALS LTD,0.01,0.015,0.014,0.011,0.004,0.004,-0.0012,-0.002,-0.0031,-0.002,-0.0036,-0.0014
226180,ENVESTRA LTD,NA,NA,NA,NA,NA,NA,0.0962,0.1062,0.1121,0.1138,0.0894,NA
211574,ENVIRONMENTAL CLEAN TECH LTD,0.003,0.0015,0.009,0.016,0.006,0.002,-0.0025,-5e-4,-0.0023,-0.0042,-0.0028,-0.0019
253402,ENVIRONMENTAL GROUP LTD,0.045,0.027,0.14,0.195,0.255,0.41,0.0048,-0.0061,0.0061,0.0053,0.008,0.0116
288165,ENVIROSUITE LTD,0.27,0.155,0.17,0.12,0.06,0.079,-0.0162,-0.0294,-0.0122,-0.0112,-0.0081,-0.0254
278450,EOR GRP LTD,NA,NA,NA,NA,NA,NA,-4e-4,NA,NA,NA,NA,NA
347289,EP&T GLOBAL LIMITED,NA,NA,0.15,0.048,0.023,0.023,NA,NA,-0.3426,-0.0387,-0.019,-0.0096
324328,EPSILON HEALTHCARE LTD,0.215,0.2,0.046,0.02,NA,NA,-0.088,-0.0663,-0.0479,-0.0656,NA,NA
