stock_id,tic,prc,ret,shrout,vol
91152,TDG,1092.68005,0.08015,55594,43032
91233,MA,449.23001,0.054817,930438,542599
91547,LDOS,110.47,0.020602,137506,138033
91556,ROST,140.28,0.013657,336666,350799
91611,FSLR,146.3,-0.150801,106847,370575
91849,BR,204.2,-0.007533,117647,112745
91926,DAL,39.14,-0.027094,643463,2851992
91937,TMUS,161.23,0.005613,1186868,1076953
92050,PODD,190.87,-0.120334,69907,182655
92108,BX,124.45,-0.04942,710545,777891
92121,DFS,105.52,-0.06121,250058,548187
92157,TEL,142.19,0.012029,308799,491463
92203,LULU,453.82001,-0.112402,121106,264307
92322,ULTA,502.04999,0.024613,48562,119222
92402,MSCI,598.62,0.058287,79091,108513
92602,PM,90.85,-0.034333,1552406,1027517
92611,V,273.26001,0.049587,1581590,1204059
92614,AWK,124.02,-0.060383,194705,222169
92655,UNH,511.73999,-0.027979,924925,970445
93002,AVGO,1180,0.057111,468141,575467
93089,VRSK,241.53,0.011178,143309,160664
93096,DG,132.07001,-0.0242,219497,493684
93132,FTNT,64.49,0.101828,761000,1348689
93246,GNRC,113.67,-0.120474,61432,158459
93429,CBOE,183.85001,0.029626,105556,159400
93436,TSLA,187.28999,-0.246257,3184790,23338728
79686,DECK,941.26001,0.050994,25668,132834
91907,SMCI,1010.03003,0.166155,58552,1837072
24877,SOLV,65.01,NA,172709,736774
24878,GEV,153.71001,NA,274086,1530041
16736,VST,99.08,0.306435,347460,2488436
11990,KKR,105.24,0.023337,887402,2697413
15315,GDDY,139.71001,5.73e-4,140941,612136
18726,CRWD,383.19,0.221634,230883,1652482
25146,SW,44.84,NA,234790,2338068
18267,DELL,118.54,0.025965,333874,2725310
19788,PLTR,37.2,0.181703,2142323,16028527
82486,ERIE,539.82001,0.062157,46189,78286
20391,TPL,1600.08997,0.37229,22975,79989
12591,APO,165.16,-0.05639,565816,1945455
13628,WDAY,258.03,0.032161,213000,1139830
87034,LII,609.29999,-0.084961,35623,129376
