"gvkey","conm","2021","2022","2023","2024"
"296276","CASTILLO COPPER LTD",0.036,0.017,0.008,0.004
"296278","RENASCOR RESOURCES LTD",0.135,0.185,0.125,0.081
"296280","CORPORATE TRAVEL MGMT LTD",24.45,16.74,16.85,12.9
"296289","REDFLOW LTD",0.0595,0.039,0.22,NA
"296300","MIDDLE ISLAND RESOURCES LTD",0.095,0.068,0.024,0.016
"296306","THOMSON RESOURCES LTD",0.091,0.02,0.005,0.005
"296321","ECHO IQ LIMITED",0.18,0.165,0.195,0.225
"296352","SHEFFIELD RESOURCES LTD",0.325,0.4,0.47,0.31
"296392","BULLETIN RESOURCES LTD",0.067,0.115,0.079,0.048
"296409","PURIFLOH LTD",1.63,0.27,0.22,0.22
"296489","NETLINKZ LTD",0.02,0.016,0.008,0.003
"296539","NEW CENTURY RESOURCES LTD",0.155,1.07,NA,NA
"296578","AERIS RESOURCES LTD",0.165,0.42,0.18,0.235
"296793","ALLIGATOR ENERGY LTD",0.068,0.056,0.054,0.05
"296880","QX RESOURCES LTD",0.018,0.045,0.024,0.007
"296881","AMERICAN RARE EARTHS LTD",0.195,0.21,0.15,0.2925
"296882","ECLIPSE METALS LTD",0.06,0.0215,0.013,0.006
"296911","VRX SILICA LTD",0.215,0.145,0.11,0.042
"297001","WIA GOLD LIMITED",0.039,0.057,0.04,0.145
"297191","METALBANK LTD",0.009,0.0035,0.039,0.019
"297237","NEWPEAK METALS LTD",0.002,0.001,0.001,0.013
"297260","GREAT SOUTHERN MINING LTD",0.053,0.033,0.023,0.019
"297267","INFINITY LITHIUM CORP LTD",0.125,0.18,0.08,0.033
"297276","GR ENGINEERING SERVICES LTD",1.78,2.1,2.19,2.02
"297281","ANTIPA MINERALS LTD",0.047,0.026,0.013,0.024
"297347","MUSGRAVE MINERALS LTD",0.3,0.255,0.39,NA
"297352","TREASURY WINE ESTATES LTD",12.41,12.57,12.33,12
"297512","WARRIEDAR RESOURCES LIMITED",0.021,0.016,0.068,0.06
"297614","ARK MINES LTD",0.034,0.26,0.175,0.185
"297802","MOTIO LTD",0.075,0.044,0.026,0.026
"297813","FIRSTWAVE CLOUD TECH LTD",0.075,0.04,0.055,0.028
"297816","PARKWAY CORPORATE LTD",0.012,0.008,0.012,0.011
"297860","RESOURCE DEVELOPMENT GP-OLD",NA,NA,NA,NA
"297921","THE STAR ENTERTAINMENT GROUP",4.47,2.58,0.61,0.295
"298051","MRG METALS LTD",0.0105,0.006,0.002,0.0035
"298064","BLUECHIIP LTD",0.03,0.032,0.025,0.003
"298137","ASSETOWL LTD",0.005,0.0015,0.001,0.001
"298142","ASTON MINERALS LIMITED",0.12,0.084,0.03,0.014
"298143","MEDADVISOR LTD",0.3,0.14,0.23,0.425
"298147","THETA GOLD MINES LTD",0.19,0.066,0.125,0.17
"298148","NAVARRE MINERALS LTD",0.097,0.045,0.019,0.019
"298205","ALCIDION GROUP LTD",0.355,0.1275,0.11,0.062
"298262","AUDALIA RESOURCES LTD",0.01,0.012,0.012,0.018
"298267","AUSTIN METALS LTD",0.042,0.008,0.007,0.004
"298404","KINETIKO ENERGY LTD",0.096,0.0935,0.11,0.095
"298427","LINIUS TECHNOLOGIES LTD",0.024,0.003,0.0025,0.0015
"298471","MITCHELL SERVICES LTD",0.475,0.37,0.35,0.4
"298637","AUCTUS INVESTMENT GROUP LTD",1.25,1.025,0.72,0.55
"298640","STRATEGIC ELEMENTS LTD",0.275,0.15,0.087,0.039
"298675","BEGA CHEESE LTD",5.38,3.46,2.52,5.26
"299587","RED MOUNTAIN MINING LTD",0.009,0.0065,0.004,0.001
"299588","FUTURE BATTERY MINERALS LTD",0.165,0.063,0.115,0.02
"299687","GOLD MOUNTAIN LTD",0.02,0.007,0.005,0.003
"300787","AUSTRALIA UNITED MINING LTD",0.009,0.004,0.003,0.002
"301387","ENSURANCE LTD",0.24,0.23,0.27,NA
"303689","ENERGY ACTION LTD",0.32,0.135,0.195,0.34
"304129","CORE LITHIUM LTD",0.425,1.105,0.405,0.13
"304887","DATELINE RESOURCES LTD",0.088,0.082,0.012,0.005
"304888","GALAN LITHIUM LTD",1.01,1.195,0.655,0.12
"305088","RUMBLE RESOURCES LTD",0.435,0.25,0.11,0.044
"307989","COUNTY INTERNATIONAL LTD",0.047,NA,NA,NA
"308388","CHORUS LTD",6.4,6.59,7.07,7.95
"310593","AUMAKE LIMITED",0.024,0.005,0.004,0.008
"311355","ALLIANCE AVIATION SERVICES",4.26,3.1,3.25,3.1
"311522","INVICTUS ENERGY LTD",0.15,0.185,0.15,0.077
"311604","TARUGA MINERALS LTD",0.05,0.029,0.009,0.01
"312231","CIVMEC LIMITED",0.585,0.605,0.805,0.935
"312461","ARMOUR ENERGY LTD",0.0245,0.007,0.12,NA
"312739","BREAKER RESOURCES NL",0.285,0.21,NA,NA
"312825","HELIOS ENERGY LTD",0.14,0.083,0.052,0.016
"313544","RIEDEL RESOURCES LTD",0.014,0.007,0.0055,0.001
"313546","ALLEGIANCE COAL LTD",0.635,0.086,NA,NA
"313552","DISCOVERY ALASKA LIMITED",0.042,0.065,0.019,0.01
"313553","MINREX RESOURCES LTD",0.016,0.044,0.014,0.008
"313556","MCS SERVICES LTD",0.06,0.042,0.02,0.004
"313560","LOCALITY PLANNING ENERGY HOL",0.185,0.06,0.045,0.13
"313561","ALTAIR MINERALS LIMITED",0.018,0.007,0.003,0.004
"313562","EARTHS ENERGY LIMITED",0.037,0.041,0.041,0.018
"313565","EUROPEAN METALS HOLDINGS LTD",1.39,0.73,0.695,0.155
"313567","ESTRELLA RESOURCES LTD",0.037,0.012,0.008,0.01
"313838","JAVELIN MINERALS LIMITED",0.002,0.001,0.001,0.003
"313843","ALICANTO MINERALS LTD",0.1125,0.042,0.045,0.027
"314039","NEWFIELD RESOURCES LTD",0.44,0.42,0.15,0.089
"314073","DACIAN GOLD LTD",0.195,0.091,0.105,NA
"314091","SANTA FE MINERALS LTD",0.085,0.085,0.044,0.037
"314499","TUNGSTEN MINING NL",0.135,0.081,0.07,0.057
"314536","TERRA METALS LTD",0.041,0.04,0.053,0.038
"314584","BURGUNDY DIAMOND MINES LTD",0.22,0.195,0.18,NA
"314650","4DS MEMORY LTD",0.14,0.025,0.135,0.084
"314652","ECOGRAF LTD",0.705,0.32,0.11,0.092
"314709","ORECORP LTD",0.655,0.365,0.49,NA
"314712","BOADICEA RESOURCES LTD",0.18,0.105,0.04,0.019
"314718","ZEUS RESOURCES LTD",0.089,0.089,0.015,0.009
"314729","XREALITY GROUP LIMITED",0.023,0.03,0.04,0.037
"314884","NINE ENTERTAINMENT CO HLDGS",2.64,1.865,2.05,1.255
"315120","MALABAR COAL LTD",NA,NA,NA,NA
"315162","TLOU ENERGY LTD",0.05,0.028,0.029,0.028
"315215","SANTANA MINERALS LTD",0.155,0.66,0.525,2.23
"315236","IPB PETROLEUM LTD",0.03,0.008,0.012,0.005
"315360","SHINE JUSTICE LTD",1.275,1.2,0.685,0.83
"315417","CLASSIC MINERALS LTD",0.001,0.017,0.001,NA
"315488","VIRTUS HEALTH LTD",5.91,NA,NA,NA
"315577","ISELECT LTD",0.35,0.27,NA,NA
"315788","AUSTRALIAN POTASH LTD",0.095,0.033,0.004,0.001
"315808","ALTO METALS LTD",0.077,0.065,0.046,0.064
"315809","ADVERITAS LTD",0.1,0.077,0.047,0.078
"315812","KRAKATOA RESOURCES LTD",0.072,0.068,0.022,0.012
"315814","AVIRA RESOURCES LTD",0.006,0.003,0.002,0.001
"315882","STEADFAST GROUP LTD",4.88,4.63,5.64,5.67
"316196","EMETALS LTD",0.02,0.016,0.008,0.004
"316197","CAMBIUM BIO LTD",0.075,0.049,0.008,NA
"316239","PERPETUAL RESOURCES LTD",0.11,0.027,0.02,0.0085
"316292","KELSIAN GROUP LIMITED",8.9,4.83,5.73,4.13
"316448","PATRONUS RESOURCES LIMITED",0.105,0.073,0.04,0.056
"316763","ASSET VISION CO LIMITED",0.041,0.031,0.009,0.028
"316825","ORORA LTD",3.11,3,2.75,2.73
"316874","DORSAVI LTD",0.02,0.014,0.011,0.01
"316882","PURE HYDROGEN CORPORATION LI",0.245,0.265,0.165,0.1525
"316907","PACT GROUP HLDGS LTD",3.81,1.35,0.695,0.805
"317021","QUANTUM GRAPHITE LTD",0.051,0.38,0.57,0.55
"317261","SG FLEET GROUP LTD",2.98,2.01,2.46,2.5
"317333","DOME GOLD MINES LTD",0.175,0.23,0.185,0.1
"317432","MOSMAN OIL & GAS LTD",0.0015,7e-04,2e-04,3e-04
"317452","JAPARA HEALTHCARE LTD",1.38,NA,NA,NA
"317454","BEACON LIGHTING GROUP LTD",2.14,1.93,1.85,2.92
"317476","BAPCOR LTD",7.57,6.12,6.8,5.31
"317886","MONASH IVF GROUP LTD",0.96,0.905,1.26,1.225
"317923","STAVELY MINERALS LTD",0.37,0.16,0.07,0.031
"317959","3P LEARNING LTD",1.205,1.4,1.27,1.02
"318006","ELANOR INVESTORS GROUP",2.07,1.69,1.53,NA
"318151","DUKETON MINING LTD",0.385,0.28,0.305,0.12
"318196","ORTHOCELL LTD",0.51,0.415,0.375,0.425
"318223","ASHLEY SERVICES GROUP LTD",0.46,0.68,0.505,0.185
"318310","VICTOR GROUP HOLDINGS LTD",0.03,0.03,0.03,0.03
"318339","INCENTIAPAY LTD",0.031,0.009,0.008,0.005
"318396","URBANISE.COM LTD",1.385,0.8,0.425,0.44
"318480","REGIS HEALTHCARE LTD",2.01,1.71,2.7,6.19
"318481","REWARDLE HOLDINGS LTD",0.015,0.015,0.029,NA
"318563","HUON AQUACULTURE GROUP",3.51,NA,NA,NA
"318667","IPH LTD",9.23,9.49,7.4,6.08
"318694","SIMONDS GROUP LTD",0.44,0.19,0.16,0.18
"318702","PACIFIC SMILES GROUP LTD",2.69,1.49,1.405,1.805
"318790","ESTIA HEALTH LTD",2.29,1.97,3.05,NA
"318811","DTI GROUP LTD",0.018,0.019,0.02,0.009
"318878","LOVISA HOLDINGS LTD",19,21.27,19.34,36
"319061","HYGROVEST LTD",0.078,0.068,0.053,0.054
"319146","UNITH LTD",0.025,0.02,0.025,0.019
"319228","ATLANTIC LITHIUM LIMITED",0.2,0.388,0.252,0.1314
"319299","ANATARA LIFESCIENCES LTD",0.145,0.059,0.028,0.07
"319476","EXPERIENCE CO LTD",0.36,0.2,0.22,0.135
"319493","AEERIS LTD",0.15,0.135,0.1,0.068
"319497","GENETIC SIGNATURES LTD",1.445,0.88,0.51,0.665
"319556","PROTEOMICS INTERNATIONAL LAB",0.89,1.01,1.11,0.68
"319672","AVA RISK GROUP LIMITED",0.48,0.18,0.195,0.098
"319687","SOUTH32 LTD",3.53,3.63,3.39,3.77
"319821","SUPERLOOP LTD",0.975,0.66,0.665,1.725
"319886","ADAIRS LTD",4.05,1.81,1.405,2.07
"319914","BAUMART HOLDINGS LTD",0.2,0.12,0.1,0.084
"319927","SHRIRO HOLDINGS LTD",1.09,0.69,0.82,0.72
"320065","GENEX POWER LTD",0.235,0.215,0.155,NA
"320074","THRIVE TRIBE TECHNOLOGIES LI",0.001,0.001,0.027,0.001
"320101","MEDLAB CLINICAL LTD",0.15,11.04,6.6,6.6
"320154","PUREPROFILE LTD",0.064,0.033,0.029,0.026
"320257","PARADIGM BIOPHARMACEUTICAL",2.2,1.26,0.615,0.195
"320280","BESTON GLOBAL FOOD CO LTD",0.086,0.057,0.006,NA
"320284","ADHERIUM LTD",0.016,0.005,0.004,0.012
"320332","KINATICO LIMITED",0.18,0.097,0.097,0.11
"320334","KNOSYS LTD",0.145,0.083,0.041,0.049
"320433","MAINSTREAM GROUP HOLDINGS",2.78,NA,NA,NA
"320481","BABY BUNTING GROUP LTD",5.56,3.78,2.12,1.805
"320580","S2 RESOURCES LTD",0.085,0.135,0.18,0.08
"320604","INTEGRAL DIAGNOSTICS LTD",4.92,2.77,2.87,2.97
"320623","FARMAFORCE LTD",0.051,NA,NA,NA
"320694","BWX LTD",4.86,0.63,NA,NA
"320726","PWR HOLDINGS LTD",8.81,8.47,11,9.05
"320750","MILLENNIUM SERVICES GROUP",0.59,0.475,0.5,NA
"320762","IDP EDUCATION LTD",34.11,26.47,21.38,15.9
"320806","NOVONIX LTD",6.65,1.76,0.86,NA
"320816","HAZER GROUP LTD",0.935,0.575,0.53,0.365
"320824","OVER THE WIRE HOLDINGS LTD",4.73,NA,NA,NA
"320858","TEMPLE & WEBSTER GROUP LTD",12.57,5.01,6,13.27
"320859","WELLARD LTD",0.094,0.067,0.038,0.072
"320926","CLASS LTD",1.72,NA,NA,NA
"320960","BETMAKERS TECHNOLOGY GRP LTD",1.075,0.315,0.092,0.082
"320967","APIAM ANIMAL HEALTH LTD",0.98,0.795,0.34,0.42
"320968","MEGAPORT LTD",16.8,7.79,11.77,7.32
"320982","PSC INSURANCE GROUP LTD",4.2,4.8,4.87,6.17
"321002","IVE GROUP LTD",1.535,2.24,1.935,2.04
"321030","AD1 HOLDINGS LTD",0.036,0.024,0.006,0.005
"321031","MICRO-X LTD",0.33,0.165,0.125,0.067
"321150","HIRO BRANDS LIMITED",0.068,4.42,NA,NA
"321154","RECCE PHARMACEUTICALS LTD",0.98,0.745,0.485,0.535
"321257","TESSERENT LTD",0.23,0.105,0.13,NA
"321313","VECTUS BIOSYSTEMS LTD",1.5,0.68,0.355,0.08
"321501","WISETECH GLOBAL LTD",53.65,52,65.05,137.19
"321581","MOTORCYCLE HOLDINGS LTD",3,2.5,2.1,1.675
"321584","RELIANCE WORLDWIDE CORP LTD",5.18,3.39,3.89,5.87
"321601","AFTERPAY LTD",121.32,NA,NA,NA
"321653","ARTICORE GROUP LIMITED",4.43,0.63,0.465,0.395
"321671","VISIONFLEX GROUP LIMITED",0.0155,0.009,0.01,0.005
"321731","GTN LTD",0.46,0.43,0.37,0.47
"321793","LIVEHIRE LTD",0.365,0.21,0.069,0.045
"321826","MARVEL GOLD LIMITED",0.071,0.018,0.009,NA
"321860","KOGAN.COM LTD",10.99,3.05,5.26,5.14
"321868","SHAVER SHOP GROUP LTD",1.02,1.08,1.045,1.235
"321869","LITHIUM POWER INTERNATIONAL",0.325,0.54,0.36,NA
"321887","CHANGE FINANCIAL LTD",0.105,0.054,0.059,0.075
"321986","OVENTUS MEDICAL LTD",0.13,NA,NA,NA
"322120","AURORA LABS LTD",0.155,0.035,0.021,0.075
"322160","QANTM INTELLECTUAL PROPERTY",1.22,0.98,0.93,NA
"322452","SUGAR TERMINALS LTD",1.02,1.035,1.075,1.085
"322471","THE MARKET LIMITED",0.75,0.4,0.26,0.15
"322497","POWERHOUSE VENTURES LTD",0.11,0.063,0.043,0.082
"322535","ADALTA LTD",0.091,0.048,0.022,0.017
"322560","BROO LTD",0.013,0.009,0.009,NA
"322600","ARDEA RESOURCES LTD",0.44,0.89,0.6,0.405
"322612","VEEM LTD",1.15,0.55,0.56,1.465
"322708","LOVE GROUP GLOBAL LTD",0.075,0.072,0.1,0.135
"322716","ENEGEX LTD",0.076,0.033,0.019,0.015
"322717","ADVANCED HEALTH INTELLIGENCE",1.145,0.13,0.165,0.092
"322763","APOLLO TOURISM & LEISURE LTD",0.58,0.725,NA,NA
"322802","INGHAMS GROUP LTD",4.13,2.38,3.32,2.95
"322803","NEUROTECH INTERNATIONAL LTD",0.049,0.087,0.067,0.06
"322858","AUTOSPORTS GROUP LTD",2.42,2.13,2.48,2.07
"322987","MIDWAY LTD",1.32,0.88,0.75,0.88
"323017","MURRAY RIVER ORGANICS",0.245,NA,NA,NA
"323035","HORIZON GOLD LTD",0.365,0.33,0.33,0.37
"323092","WRKR LTD",0.022,0.018,0.028,0.049
"323185","KALIUM LAKES LTD",0.21,0.045,0.025,7.2674
"323199","SENSERA LTD",0.037,0.015,0.015,NA
"323619","COBALT BLUE HLDGS",0.325,0.71,0.255,0.082
"323625","METALSTECH LTD",0.655,0.405,0.215,0.17
"323636","ROTO-GRO INTL LTD",0.029,0.011,NA,NA
"323741","WELLNEX LIFE LTD",0.098,0.08,0.0524,0.02
"323769","AUMEGA METALS LTD",0.38,0.099,0.05,NA
"323839","BIGTINCAN HOLDINGS LTD",1.275,0.535,0.365,0.16
"323979","NOVATTI GROUP LTD",0.44,0.175,0.095,0.078
"323980","8COMMON LTD",0.165,0.097,0.075,0.041
"324012","UNICO SILVER LIMITED",0.255,0.14,0.09,0.215
"324044","TEMPEST MINERALS LTD",0.022,0.033,0.009,0.01
"324052","BENDIGO TELCO LTD",1.2,0.9,0.5,0.5
"324059","HARVEST TECHNOLOGY GROUP LTD",0.34,0.065,0.028,0.018
"324060","KYCKR LTD",0.046,0.079,NA,NA
"324065","TINYBEANS GROUP PTY LTD",1.08,0.25,0.125,0.082
"324093","RACE ONCOLOGY LTD",3.5,1.915,0.905,1.785
"324094","NOXOPHARM LTD",0.555,0.18,0.039,0.105
"324095","CFOAM LTD",0.014,0.004,0.002,NA
"324097","QORIA LIMITED",0.685,0.32,0.245,0.41
"324099","CARNABY RESOURCES LTD",0.32,0.75,0.88,0.455
"324102","BOD SCIENCE LIMITED",0.315,0.088,0.075,0.024
"324104","GREAT BOULDER RESO",0.155,0.105,0.055,0.057
"324105","KALAMAZOO RESOURCE",0.34,0.2,0.1,0.078
"324106","ROOLIFE GROUP LTD",0.021,0.014,0.012,0.004
"324108","TECHNOLOGY METALS AUSTRALIA",0.4,0.365,0.28,NA
"324110","BLACKSTONE MINERAL LTD",0.465,0.175,0.125,0.037
"324115","MARQUEE RESOURCES LTD",0.073,0.0575,0.029,0.015
"324116","TRINEX MINERALS LIMITED",0.062,0.025,0.012,0.002
"324119","BIG RIVER INDUSTRIES LTD",2.06,2.15,2.18,1.485
"324122","MSL SOLUTIONS",0.205,0.165,NA,NA
"324146","CANN GROUP LTD",0.275,0.255,0.12,0.095
"324217","SKIN ELEMENTS LTD",0.1,0.036,0.006,0.004
"324495","MANUKA RESOURCES LTD",0.325,0.135,0.046,0.034
"324504","MAGMATIC RESOURCES LTD",0.1,0.135,0.07,0.063
"324569","BRYAH RESOURCES",0.053,0.026,0.015,0.004
"324606","ALDERAN RESOURCES",0.045,0.008,0.01,0.004
"324607","GOLDEN MILE RESOURCES",0.048,0.029,0.03,0.012
"324726","OLIVER'S REAL FOOD",0.059,0.059,0.025,0.01
"324817","KELLY PARTNERS GRO",3.34,5,4.21,7.65
"324851","ELMO SOFTWARE LTD",4.47,2.24,NA,NA
"324873","AUDINATE GROUP LTD",10,7.23,13.53,9.78
"324960","5E ADVANCED MATERIALS INC",NA,10.16,2.26,0.54
"325069","SPECTUR LTD NPV",0.092,0.033,0.019,0.019
"325222","RESOLUTION MINERALS LTD",0.02,0.01,0.007,0.002
"325244","GLOBAL URANIUM AND ENRICHMEN",0.51,0.24,0.165,0.072
"325271","SCOUT SECURITY LTD",0.058,0.031,0.015,0.52
"325303","AUSTRALIAN ADVENTURE TOURISM",0.05,0.055,0.055,0.06
"325305","DELTA LITHIUM LIMITED",0.6,0.65,0.75,0.235
"325342","GALENA MINING LIMI",0.2,0.15,0.093,NA
"325365","RIVERSGOLD LTD",0.028,0.036,0.013,0.005
"325412","GATHID LTD",0.29,0.042,0.026,0.018
"325448","TITOMIC LIMITED",0.32,0.245,0.0145,0.13
"325465","THE GO2 PEOPLE",0.033,0.015,0.014,NA
"325598","JOHNS LYNG GROUP",6.13,6.28,6.53,3.73
"325617","REGISTRY DIRECT LI",0.031,0.014,NA,NA
"325630","STATE GAS LTD",0.315,0.335,0.14,0.053
"325657","NORONEX LTD",0.135,0.035,0.014,0.016
"325685","NANOLLOSE LTD",0.089,0.068,0.05,0.019
"325687","VANADIUM RESOURCES LTD",0.064,0.095,0.056,0.045
"325746","5G NETWORKS LIMITED",0.94,0.14,0.125,0.1475
"325750","RHYTHM BIOSCIENCES LTD",1.285,1.25,0.345,0.064
"325763","IPERIONX LIMITED",1.17,0.89,1.5,3.18
"325823","PEOPLEIN LIMITED",3.83,3.06,1.785,0.85
"325838","IXUP LIMITED",0.165,0.038,0.052,0.015
"325882","RARE FOODS AUSTRALIA LIMITED",0.073,0.068,0.056,0.012
"325932","CARAWINE RESOURCES LTD",0.205,0.095,0.15,0.094
"325957","DOMAIN HOLDINGS AUSTRALIA LT",5.65,3.22,4,3.2
"326013","PROPEL FUNERAL PAR",4.05,4.73,4.3,5.78
"326026","BIO GENE TECHNOLOG",0.135,0.105,0.072,0.047
"326079","TIETTO MINERALS LTD",0.38,0.435,0.615,NA
"326098","COMMS GROUP LIMITED",0.091,0.075,0.076,0.076
"326118","PARKD LTD",0.05,0.021,0.025,0.022
"326138","WAGNERS HOLDING CO",1.79,0.8,0.965,0.86
"326181","NTAW HOLDINGS LIMITED",1.095,0.72,0.8,0.385
"326221","CARBONXT GROUP LIM",0.235,0.1,0.064,0.068
"326331","JAYRIDE GROUP LTD",0.2,0.165,0.087,0.01
"326367","BLACK CAT SYNDICATE LTD",0.52,0.33,0.21,0.46
"326398","INTELLIHR LTD",0.22,0.055,NA,NA
"326452","EVION GROUP NL",0.125,0.082,0.036,0.027
"326454","ACCELERATE RESOURC",0.039,0.035,0.025,0.009
"326456","PODIUM MINERALS",0.35,0.13,0.043,0.04
"326562","EAGLE MOUNTAIN MIN",0.795,0.215,0.077,0.05
"326570","READCLOUD LTD",0.235,0.125,0.047,NA
"326631","SATURN METALS LTD",0.395,0.25,0.155,0.28
"326703","L1 LONG SHORT FUND",NA,NA,NA,NA
"326731","MAKO GOLD LTD",0.087,0.05,0.015,0.009
"327032","DXN LIMITED",0.01,0.008,0.002,0.079
"327074","CLEARVUE TECHNOLOG",0.3,0.23,0.33,0.455
"327075","SMILES INCLUSIVE L",0.035,NA,NA,NA
"327122","GALILEO MINING LTD",0.255,1.32,0.295,0.155
"327173","TOP EDUCATION GRP",0.198,0.077,0.05,0.056
"327199","WIDE OPEN AGRICULTU",0.7,0.45,0.325,0.012
"327204","VULCAN ENERGY RESOURCES LTD",13.03,7.5,2.87,NA
"327205","STAR COMBO PHARMA",0.315,0.18,0.095,0.155
"327265","TRIGG MINERALS LTD",0.105,0.068,0.011,0.032
"327267","1414 DEGREES LTD",0.1,0.076,0.04,0.067
"327268","CONSTELLATION RESO",0.36,0.16,0.165,0.155
"327313","NEUROSCIENTIFIC BI",0.455,0.089,0.07,0.035
"327322","TARTANA MINERALS LIMITED",0.15,0.081,0.048,0.039
"327542","RMA GLOBAL LIMITED",0.22,0.16,0.081,0.061
"327597","SULTAN RESOURCES L",0.19,0.088,0.021,0.006
"327723","CALIX LTD",5.22,5.78,2.82,1.155
"327728","KINGWEST RESOURCES",0.14,0.037,NA,NA
"327779","PIVOTAL METALS LTD",0.083,0.03,0.019,0.011
"327785","SOMERSET MINERALS LIMITED",0.18,0.054,0.026,0.003
"327831","ALDORO RESOURCES LTD",0.455,0.225,0.09,0.079
"327944","ARCHTIS LTD",0.35,0.155,0.11,0.0695
"327958","HEALTHIA LTD",1.87,1.47,1.75,NA
"328100","VINTAGE ENERGY LTD",0.075,0.079,0.031,0.009
"328125","CAPRICE RESOURCES LTD",0.17,0.045,0.036,0.028
"328268","QEM LIMITED",0.15,0.225,0.19,0.105
"328271","STEALTH GROUP HOLDINGS LTD",0.165,0.135,0.165,0.35
"328296","ALTHEA GROUP HOLDINGS LTD",0.23,0.078,0.031,0.039
"328310","TECHGEN METALS LTD",0.205,0.165,0.029,0.035
"328453","MOHO RESOURCES NL",0.064,0.027,0.009,0.007
"328879","IDENTITII LTD",0.24,0.052,0.012,0.012
"328883","WISEWAY GROUP LIMITED",0.36,0.082,0.046,0.13
"329027","NORWEST MINERALS LTD",0.075,0.036,0.03,0.022
"329139","EMVISION MEDICAL DEVICES LTD",3.15,1.39,1.7,2.03
"329144","ZOONO GROUP LTD",0.415,0.1275,0.038,0.024
"329298","GOLDEN STATE MINING LIMITED",0.135,0.041,0.036,0.012
"329451","WOOMERA MINING LTD",0.021,0.015,0.011,0.002
"329497","CANTERBURY RESOURCES LTD",0.105,0.044,0.027,0.034
"329498","COLES GROUP LTD",16.99,16.43,15.56,18.06
"329524","VINYL GROUP LTD",0.062,0.018,0.056,0.105
"329547","EXOPHARM LIMITED",0.585,0.135,0.01,NA
"329634","THE CALMER CO INTERNATIONAL",0.088,0.028,0.005,0.01
"329643","REDCAPE HOTEL GROUP PTY LTD",1.09,NA,NA,NA
"329929","ATOMOS LIMITED",1.545,0.165,0.065,0.041
"329952","PVW RESOURCES NL",0.2,0.155,0.067,0.022
"329955","TORQUE METALS LIMITED",0.215,0.18,0.345,0.076
"330013","YANDAL RESOURCES LIMITED",0.5,0.15,0.049,0.09
"330145","UNITI GROUP LTD",3.87,NA,NA,NA
"330678","INNLANZ LIMITED",0.069,0.044,0.024,NA
"331000","SENTERPRISYS LTD",0.05,0.05,0.05,0.04
"331130","ECOFIBRE LTD",0.845,0.23,0.18,0.032
"331537","MONT ROYAL RESOURCES LTD",0.4,0.23,0.18,0.053
"331672","WARREGO ENERGY LTD",0.215,0.14,NA,NA
"331734","READYTECH HOLDINGS LTD",3.49,2.86,3.7,3
"331957","BEAMTREE HOLDINGS LTD",0.595,0.21,0.225,0.315
"332470","VIVA LEISURE LTD",2.34,1.13,1.595,1.38
"332503","POINTSBET HOLDINGS LTD",10.2,1.86,0.785,0.7
"332532","TUBI LTD",0.049,0.049,NA,NA
"332583","WHISPIR LTD",2.28,0.715,0.315,NA
"332767","INVEX THERAPEUTICS",0.7,0.605,0.205,0.075
"332834","RPM AUTOMOTIVE GROUP LTD",0.36,0.195,0.089,0.07
"332970","ECS BOTANICS HOLDINGS LTD",0.038,0.021,0.021,0.019
"332990","VERBREC LTD",0.14,0.13,0.1,0.135
"333058","CODA MINERALS LTD",0.94,0.28,0.185,0.09
"333157","NEW ZEALAND COASTAL SEAFOODS",0.01,0.0035,0.002,0.002
"333370","FINEOS CORP HOLDINGS PLC",4.33,1.25,2,NA
"333913","MADER GROUP LTD",1.55,2.94,6.38,4.96
"333919","INTEGA GROUP LTD",0.57,NA,NA,NA
"334032","THE SUSTAINABLE NUTRITION",0.32,0.14,NA,NA
"334059","K-TIG LTD",0.39,0.14,0.3625,0.3625
"334096","OAR RESOURCES LTD",0.0125,0.005,0.004,0.002
"334105","DAMSTRA HOLDINGS LTD",0.905,0.14,0.1,NA
"334319","VITURA HEALTH LIMITED",0.17,0.69,0.37,0.076
"334763","HUBIFY LTD",0.08,0.04,0.015,0.01
"335465","TERRAGEN HOLDINGS LTD",0.27,0.13,0.026,0.034
"335486","AMAERO INTERNATIONAL LTD",0.425,0.11,0.215,0.4
"335514","TYRO PAYMENTS LTD",3.89,1.3,1.355,0.94
"335544","VECTION TECHNOLOGIES LTD",0.084,0.065,0.039,0.008
"335567","NUCHEV LIMITED",0.635,0.255,0.2,0.145
"335587","MIGHTY CRAFT LTD",0.29,0.13,0.023,NA
"335588","ICETANA LTD",0.115,0.034,0.033,0.024
"336459","AEROMETREX LIMITED",0.7,0.42,0.32,0.3175
"336514","METAL HAWK LTD",0.58,0.18,0.095,0.17
"336522","M8 SUSTAINABLE LTD",0.028,0.006,0.009,0.009
"336550","OPENPAY GROUP LTD",1.33,0.18,NA,NA
"336572","CASTILE RESOURCES LTD",0.205,0.12,0.051,0.078
"336589","GODOLPHIN RESOURCES LTD",0.15,0.083,0.037,0.015
"336879","COBRE LIMITED",0.145,0.13,0.054,0.074
"336993","COSOL LTD",0.685,0.61,0.885,0.945
"337098","TESORO GOLD LTD",0.1,0.032,0.019,0.037
"337102","LITTLE GREEN PHARMA LTD",0.7,0.155,0.095,NA
"337103","EMYRIA LTD",0.23,0.22,0.075,0.032
"337332","KAISER REEF LTD",0.205,0.155,0.18,0.16
"337597","AML3D LIMITED",0.15,0.095,0.085,0.155
